Label,FSLabel,Region
101,11102,ctx_lh_G_and_S_occipital_inf
102,11111,ctx_lh_G_cuneus
103,11121,ctx_lh_G_oc_temp_lat_fusifor
104,11122,ctx_lh_G_oc_temp_med_Lingual
105,11123,ctx_lh_G_oc_temp_med_Parahip
106,11119,ctx_lh_G_occipital_middle
107,11120,ctx_lh_G_occipital_sup
108,11143,ctx_lh_Pole_occipital
109,11145,ctx_lh_S_calcarine
110,11158,ctx_lh_S_oc_middle_and_Lunatus
111,11159,ctx_lh_S_oc_sup_and_transversal
112,11161,ctx_lh_S_oc_temp_lat
113,11162,ctx_lh_S_oc_temp_med_and_Lingual
114,11160,ctx_lh_S_occipital_ant
115,11166,ctx_lh_S_parieto_occipital
201,12102,ctx_rh_G_and_S_occipital_inf
202,12111,ctx_rh_G_cuneus
203,12121,ctx_rh_G_oc_temp_lat_fusifor
204,12122,ctx_rh_G_oc_temp_med_Lingual
205,12123,ctx_rh_G_oc_temp_med_Parahip
206,12119,ctx_rh_G_occipital_middle
207,12120,ctx_rh_G_occipital_sup
208,12143,ctx_rh_Pole_occipital
209,12145,ctx_rh_S_calcarine
210,12158,ctx_rh_S_oc_middle_and_Lunatus
211,12159,ctx_rh_S_oc_sup_and_transversal
212,12161,ctx_rh_S_oc_temp_lat
213,12162,ctx_rh_S_oc_temp_med_and_Lingual
214,12160,ctx_rh_S_occipital_ant
215,12166,ctx_rh_S_parieto_occipital
